tag           variant     beta lam   M  W  g1  g2 n | suff | H(C|O) hall1 [Gam,GamS] hall2 [Gam,GamS] | H(C|Gam,O) | I(C;th|O) h1 h2 | I(C;w|O) h1 h2 | err use2 | H(H|O) h1
grid_bypass   bypass     0.010   0  16  1   3   6 16 | 7/16 |  2.00 [2.00,2.00]   1.82 [1.00,1.00] |  0.82 | 2.00 1.82 | 0.00 0.00 | 0.22 | 5.00
grid_bypass   bypass     0.010   0  16  5   3   6 16 | 4/16 |  1.22 [ nan,3.42]   1.08 [1.00,1.55] |  0.36 | 1.12 1.00 | 0.05 0.04 | 0.25 | 6.56
grid_drift    bypass     0.010   0  16  1   3   6 8 | 1/8 |  2.00 [2.00,2.00]   1.50 [1.00,1.00] |  0.50 | 2.00 1.50 | 0.00 0.00 | 0.44 | 5.00
grid_drift    bypass     0.010   0  16  3   3   6 8 | 1/8 |  0.92 [ nan,2.86]   0.92 [1.00,1.43] |  0.00 | 0.92 0.92 | 0.00 0.00 | 0.44 | 5.86
grid_drift    bypass     0.010   0  16  5   3   6 8 | 0/8 |  0.35 [ nan,3.42]   0.44 [1.00,1.55] |  0.26 | 0.21 0.27 | 0.09 0.08 | 0.38 | 6.56
grid_drift    bypass     0.010   0  16  7   3   6 8 | 2/8 |  0.86 [ nan,3.82]   1.03 [1.00,1.59] |  0.31 | 0.66 0.91 | 0.12 0.06 | 0.37 | 7.11
grid_drift    diacritic  0.010   0  16  1   3   6 8 | 4/8 |  2.07 [2.00,2.00]   1.20 [1.00,1.00] |  0.20 | 2.07 1.20 | 0.00 0.00 | 0.22 | 5.00
grid_drift    diacritic  0.010   0  16  3   3   6 8 | 1/8 |  2.06 [ nan,2.86]   1.03 [1.00,1.43] |  0.00 | 2.00 1.00 | 0.06 0.03 | 0.37 | 5.86
grid_drift    diacritic  0.010   0  16  5   3   6 8 | 6/8 |  2.08 [ nan,3.42]   1.20 [1.00,1.55] |  0.20 | 2.00 1.11 | 0.08 0.04 | 0.13 | 6.56
grid_drift    diacritic  0.010   0  16  7   3   6 8 | 5/8 |  2.06 [ nan,3.82]   1.14 [1.00,1.59] |  0.11 | 2.00 1.04 | 0.06 0.05 | 0.19 | 7.11
grid_drift    diacritic  0.010   1  16  1   3   6 8 | 8/8 |  2.02 [2.00,2.00]   1.80 [1.00,1.00] |  0.80 | 2.02 1.80 | 0.00 0.00 | 0.00 | 5.00
grid_drift    diacritic  0.010   1  16  3   3   6 8 | 5/8 |  2.04 [ nan,2.86]   1.48 [1.00,1.43] |  0.51 | 2.00 1.26 | 0.04 0.07 | 0.00 | 5.86
grid_drift    diacritic  0.010   1  16  5   3   6 8 | 5/8 |  2.07 [ nan,3.42]   1.26 [1.00,1.55] |  0.27 | 2.00 1.14 | 0.07 0.05 | 0.02 | 6.56
grid_drift    diacritic  0.010   1  16  7   3   6 8 | 4/8 |  2.05 [ nan,3.82]   1.21 [1.00,1.59] |  0.21 | 2.00 1.13 | 0.05 0.03 | 0.00 | 7.11
grid_drift    mik        0.000   0  16  1   3   6 8 | 0/8 |  1.00 [2.00,2.00]   0.50 [1.00,1.00] |  0.50 | 1.00 0.50 | 0.00 0.00 | 0.50 | 5.00
grid_drift    mik        0.000   0  16  3   3   6 8 | 0/8 |  1.54 [ nan,2.86]   0.98 [1.00,1.43] |  0.82 | 1.00 0.21 | 0.54 0.35 | 0.50 | 5.86
grid_drift    mik        0.000   0  16  5   3   6 8 | 0/8 |  1.77 [ nan,3.42]   1.44 [1.00,1.55] |  1.39 | 1.00 0.23 | 0.71 0.62 | 0.50 | 6.56
grid_drift    mik        0.000   0  16  7   3   6 8 | 0/8 |  1.58 [ nan,3.82]   1.63 [1.00,1.59] |  1.74 | 1.01 0.37 | 0.48 0.56 | 0.50 | 7.11
grid_drift    mik        0.010   0  16  1   3   6 8 | 0/8 |  0.87 [2.00,2.00]   0.31 [1.00,1.00] |  0.31 | 0.87 0.25 | 0.00 0.00 | 0.50 | 5.00
grid_drift    mik        0.010   0  16  3   3   6 8 | 0/8 |  1.31 [ nan,2.86]   0.88 [1.00,1.43] |  0.72 | 1.01 0.27 | 0.30 0.29 | 0.50 | 5.86
grid_drift    mik        0.010   0  16  5   3   6 8 | 0/8 |  1.55 [ nan,3.42]   0.99 [1.00,1.55] |  0.94 | 1.02 0.05 | 0.50 0.50 | 0.50 | 6.56
grid_drift    mik        0.010   0  16  7   3   6 8 | 0/8 |  1.64 [ nan,3.82]   1.47 [1.00,1.59] |  1.47 | 1.03 0.30 | 0.47 0.62 | 0.50 | 7.11
grid_drift    sysid      0.010   0  16  1   3   6 8 | 0/8 |  2.43 [2.00,2.00]   2.48 [1.00,1.00] |  2.00 | 2.43 2.47 | 0.00 0.00 | 0.24 | 5.00
grid_drift    sysid      0.010   0  16  3   3   6 8 | 0/8 |  2.44 [ nan,2.86]   2.30 [1.00,1.43] |  1.68 | 2.38 2.26 | 0.03 0.01 | 0.22 | 5.86
grid_drift    sysid      0.010   0  16  5   3   6 8 | 0/8 |  2.56 [ nan,3.42]   2.69 [1.00,1.55] |  2.20 | 2.54 2.59 | 0.01 0.04 | 0.25 | 6.56
grid_drift    sysid      0.010   0  16  7   3   6 8 | 0/8 |  2.40 [ nan,3.82]   2.46 [1.00,1.59] |  1.89 | 2.37 2.40 | 0.01 0.02 | 0.22 | 7.11
grid_horizon  diacritic  0.010   0  16  1   3   1 8 | 8/8 |  2.06 [2.00,2.00]   1.66 [1.00,1.00] |  0.66 | 2.06 1.66 | 0.00 0.00 | 0.00 | 5.00
grid_horizon  diacritic  0.010   0  16  1   3   3 8 | 8/8 |  2.02 [2.00,2.00]   1.45 [1.00,1.00] |  0.45 | 2.02 1.42 | 0.00 0.00 | 0.00 | 5.00
grid_horizon  diacritic  0.010   0  16  1   3   6 8 | 4/8 |  2.07 [2.00,2.00]   1.20 [1.00,1.00] |  0.20 | 2.07 1.20 | 0.00 0.00 | 0.22 | 5.00
grid_horizon  diacritic  0.010   0  16  1   3  10 8 | 5/8 |  2.01 [2.00,2.00]   1.41 [1.00,1.00] |  0.41 | 2.01 1.41 | 0.00 0.00 | 0.17 | 5.00
grid_horizon  diacritic  0.010   0  16  1   3  15 8 | 5/8 |  2.00 [2.00,2.00]   1.71 [1.00,1.00] |  0.71 | 2.00 1.61 | 0.00 0.00 | 0.09 | 5.00
grid_horizon  diacritic  0.010   0  16  1   3  20 8 | 5/8 |  2.00 [2.00,2.00]   1.56 [1.00,1.00] |  0.56 | 2.00 1.51 | 0.00 0.00 | 0.19 | 5.00
grid_horizon  diacritic  0.010   0  16  1   8   6 8 | 2/8 |  2.00 [2.00,2.00]   1.75 [1.00,1.00] |  0.75 | 2.00 1.75 | 0.00 0.00 | 0.38 | 5.00
grid_horizon  diacritic  0.010   0  16  1  15   6 8 | 0/8 |  0.00 [2.00,2.00]   0.17 [1.00,1.00] |  0.17 | 0.00 0.00 | 0.00 0.00 | 0.50 | 5.00
grid_horizon  diacritic  0.010   1  16  1   3   1 8 | 8/8 |  2.09 [2.00,2.00]   1.93 [1.00,1.00] |  0.93 | 2.09 1.89 | 0.00 0.00 | 0.00 | 5.00
grid_horizon  diacritic  0.010   1  16  1   3   3 8 | 8/8 |  2.09 [2.00,2.00]   1.85 [1.00,1.00] |  0.85 | 2.09 1.77 | 0.00 0.00 | 0.00 | 5.00
grid_horizon  diacritic  0.010   1  16  1   3   6 8 | 8/8 |  2.02 [2.00,2.00]   1.80 [1.00,1.00] |  0.80 | 2.02 1.80 | 0.00 0.00 | 0.00 | 5.00
grid_horizon  diacritic  0.010   1  16  1   3  10 8 | 5/8 |  2.03 [2.00,2.00]   1.52 [1.00,1.00] |  0.52 | 2.03 1.52 | 0.00 0.00 | 0.06 | 5.00
grid_horizon  diacritic  0.010   1  16  1   3  15 8 | 1/8 |  2.00 [2.00,2.00]   2.00 [1.00,1.00] |  1.00 | 2.00 2.00 | 0.00 0.00 | 0.16 | 5.00
grid_horizon  diacritic  0.010   1  16  1   3  20 8 | 3/8 |  2.00 [2.00,2.00]   1.67 [1.00,1.00] |  0.67 | 2.00 1.67 | 0.00 0.00 | 0.25 | 5.00
grid_horizon  diacritic  0.010   1  16  1   8   6 8 | 4/8 |  2.05 [2.00,2.00]   1.85 [1.00,1.00] |  0.85 | 2.05 1.66 | 0.00 0.00 | 0.12 | 5.00
grid_horizon  diacritic  0.010   1  16  1  15   6 8 | 2/8 |  2.00 [2.00,2.00]   1.66 [1.00,1.00] |  0.66 | 2.00 1.41 | 0.00 0.00 | 0.31 | 5.00
grid_horizon  scaffold   0.010   1  16  1   3   1 8 | 8/8 |  2.00 [2.00,2.00]   1.44 [1.00,1.00] |  0.44 | 2.00 1.44 | 0.00 0.00 | 0.00 | 5.00
grid_horizon  scaffold   0.010   1  16  1   3   3 8 | 8/8 |  2.01 [2.00,2.00]   1.35 [1.00,1.00] |  0.35 | 2.01 1.32 | 0.00 0.00 | 0.00 | 5.00
grid_horizon  scaffold   0.010   1  16  1   3   6 8 | 8/8 |  2.03 [2.00,2.00]   1.25 [1.00,1.00] |  0.25 | 2.03 1.25 | 0.00 0.00 | 0.00 | 5.00
